URL Source,Article,Summary
https://www.bbc.com/bengali/news-54770021,ফরাসী প্রেসিডেন্ট ম্যাক্রঁ: 'নবীর কার্টুন নিয়ে মুসলিমরা কেন ক্ষুব্ধ আমি বুঝতে পারি',"ফরাসী প্রেসিডেন্ট এমানুয়েল ম্যাক্রঁ বলেছেন, ইসলামের নবীকে নিয়ে আঁকা বিতর্কিত ব্যঙ্গচিত্রের কারণে মুসলিমরা কেন এতটা ক্ষুব্ধ হয়েছিল সেটা তিনি বুঝতে পারেন। তবে এর কারণে সহিংসতার যুক্তি তিনি কোনদিনই মানতে পারবেন না।"
https://www.bbc.com/bengali/news-56230347,"মিয়ানমারে সেনা অভ্যুত্থানের বিরুদ্ধে বিক্ষোভের রক্তাক্ত দিন, সহিংসতায় ১৮ জন নিহত",জাতিসংঘের মানবাধিকার বিষয়ক সংস্থার পক্ষ থেকে বলা হয়েছে মিয়ানমারে সামরিক অভ্যুত্থানের বিরুদ্ধে চলমান বিক্ষোভের সময় আজ রবিবার কমপক্ষে ১৮ জন নিহত হয়েছে।
https://www.bbc.com/bengali/news-51083336,মহাকাশে পর্যটন: মিলিয়ন ডলার খরচ করে মহাকাশে যাচ্ছেন প্রথম যে পর্যটকরা,গত ১৫ বছর ধরে কেটি মেইসনরুজ অপেক্ষা করছেন এমন এক সফরের জন্য যেটি তাকে পৃথিবী থেকে নিয়ে যাবে ভিন্ন এক জগতে।
https://www.bbc.com/bengali/news-55530158,ঢাকায় 'স্কুলছাত্রীকে ধর্ষণের পর হত্যা'র অভিযোগে এক তরুণ কারাগারে,বাংলাদেশে ঢাকায় একজন স্কুল ছাত্রীকে ধর্ষণের পর হত্যার অভিযোগে মামলায় অভিযুক্ত তরুণকে গ্রেফতারের পর তাকে আদালতে হাজির করে কারাগারে পাঠানো হয়েছে।
https://www.bbc.com/bengali/news-51130657,"মার্বেল দৌড় সবার আগেই শেষ করেছিল শিশুটি, কিন্তু পুরস্কার নেয়ার আগেই মারা গেল",ঝিনাইদহের শৈলকূপায় স্কুলের দৌড় প্রতিযোগিতায় অংশ নেয়া এক শিশু দৌড় শেষ হওয়া মাত্র মৃত্যুর কোলে ঢলে পড়ে।
https://www.bbc.com/bengali/news-49474607,যৌন হয়রানি: ছেলেদেরকে ধর্ষণ করবার ঘটনা মেয়েদের চাইতে কম না,প্রতিবেশির হাতে ধর্ষণের শিকার হয়েছিলো নয় বছর বয়সী রাকিব (ছদ্মনাম)। এরপর থেকেই তার আচরণ অস্বাভাবিক হয়ে যায়। সারাদিন চুপচাপ থাকে। অপরিচিত কাউকে দেখলেই ভয় পায়।
https://www.bbc.com/bengali/news-44764197,কেন থাইল্যান্ডের গুহা থেকে উদ্ধার পাওয়া চারজনকে নিয়ে এত গোপনীয়তা,"থাইল্যান্ড থেকে বিবিসির জোনাথন হেড বলছেন, এটা বিস্ময়কর যে রোববার উদ্ধার হওয়া চারজন কিশোরের বাবা-মাকেও হাসপাতালে নেওয়া হয়নি।"
https://www.bbc.com/bengali/news-55201330,"ভাসানচরে রোহিঙ্গাদের প্রথম দিন, উন্নয়ন সংস্থার নিন্দা",বাংলাদেশের দক্ষিণাঞ্চলে দুই দশক আগে জেগে ওঠা দ্বীপ ভাসানচরে একটি দিন পার করেছে সেখানে স্থানান্তরিত রোহিঙ্গা শরণার্থীরা। সেখানকার পরিবেশ দেখে বেশিরভাগ রোহিঙ্গা তাদের সন্তুষ্টির কথা জানিয়েছেন।
https://www.bbc.com/bengali/news-44425844,খালেদা জিয়া কি কারাগারে 'মাইল্ড স্ট্রোকে'র শিকার হয়েছিলেন,"বাংলাদেশে কারাবন্দী বিএনপি নেত্রী খালেদা জিয়ার স্বাস্থ্য পরিস্থিতি নিয়ে উদ্বেগ জানিয়ে তার ব্যক্তিগত চিকিৎসকরা জানিয়েছেন, আজ (শনিবার) কারাগারে তার সঙ্গে কথা বলে তাদের মনে হয়েছে কয়েকদিন আগে তিনি হয়তো মাইল্ড স্ট্রোকের শিকার হয়েছিলেন।"
https://www.bbc.com/bengali/news-51124170,সেলাই মেশিন কিভাবে নারীকে মুক্তি দিয়েছিল,১৮৫০ সালেও সামাজিক অগ্রগতির বিষয়টি ছিল পরাহত। এর কয়েক বছর আগে আমেরিকান ক্যাম্পেইনার এলিজাবেথ ক্যাডি স্ট্যানটন নারীদের ভোটাধিকার চেয়ে বিতর্ক তৈরি করেছিলেন।
https://www.bbc.com/bengali/news-44843943,বাংলাদেশে বিভিন্ন পেশায় সর্বনিন্ম মজুরী: যা জানা জরুরী,আপনি জানেন কি - বাংলাদেশে একজন শ্রমিক মাসে সর্বোচ্চ কত টাকা মজুরী পান?
https://www.bbc.com/bengali/news-45468700,বাংলাদেশের রাজধানী ঢাকায় প্রধান সড়কে লেগুনা বন্ধ নিয়ে যাত্রীদের মধ্যে নানা ধরণের প্রতিক্রিয়া,"ঢাকার কয়েকটি প্রধান সড়কে হিউম্যান হলার বা লেগুনা চলাচল ছিল স্বাভাবিক চিত্র, কারণ বাসের বিকল্প হিসেবে অনেকে এই লেগুনায় চড়েন।"
