URL Source,Article,Summary
https://www.bbc.com/gujarati/india-47468921,રફાલ મુદ્દે સુપ્રીમ કોર્ટમાં કેન્દ્ર સરકારની પીછેહઠ થઈ,રફાલ મુદ્દે સુપ્રીમ કોર્ટમાં કેન્દ્ર સરકારની પીછેહઠ થઈ છે. સર્વોચ્ચ અદાલતે આ મુદ્દે ઍટર્ની જનરલ દ્વારા દાખલ કરવામાં આવેલા વાંધાને ફગાવી દીધા છે.
https://www.bbc.com/gujarati/india-41594724,"ગુજરાત ચૂંટણી બે તબક્કામાં, 9 અને 14 ડિસેમ્બરે થશે મતદાન",જેની લાંબા સમયથી રાહ જોવાઈ રહી હતી તે ગુજરાત વિધાનસભાની ચૂંટણીની જાહેરાત થઈ ગઈ છે. આગામી 9 અને 14 ડિસેમ્બરના રોજ બે તબક્કામાં ચૂંટણી યોજાશે
https://www.bbc.com/gujarati/india-49968722,Air Force : રફાલની ફાઇટર જેટની એ ખાસિયતો જે તેને ખાસ બનાવે છે,વાયુસેનાદિવસ એટલે કે 8 ઑક્ટોબરના રોજ ભારતને પ્રથમ રફાલ યુદ્ધ વિમાન મળ્યું છે.
https://www.bbc.com/gujarati/india-42290839,બિટકૉઇન કેવી રીતે મેળવવા અને ખર્ચવા એ જાણો છો?,"વર્ચ્યુઅલ કરન્સી બિટકૉઇનનો પરપોટો ફૂટવાની તૈયારીમાં હોવાની ચેતવણી છેલ્લા કેટલાક મહિનાઓમાં ઘણીવાર આપવામાં આવી છે, પણ બિટકૉઇનની કિંમત સતત વધી રહી છે."
https://www.bbc.com/gujarati/india-53808890,ગુજરાતમાં રચાતાં 'તપાસપંચ માત્ર એક તૂત' છે?,ગુજરાતમાં જ્યારે જ્યારે મોટાં કૌભાંડ થાય કે હિંસા થાય એટલે તરત કોઈને કોઈ તપાસપંચની નિમણૂક કરી દેવાય છે.
https://www.bbc.com/gujarati/india-51685797,"IND vs NZ : ભારતે 90 રનમાં 6 વિકેટ ગુમાવી, કોહલી 14માં આઉટ",ભારતીય બૉલરોએ સારી બૉલિંગ કરીને ન્યૂઝીલૅન્ડને 235 રનમાં ઑલ આઉટ કરીને સાત રનની લીડ અપાવી હતી.
https://www.bbc.com/gujarati/india-44638998,"યોગીએ ટોપી પહેરવાનો ઇન્કાર કર્યો, લોકોને મોદી યાદ આવ્યા",મગહરમાં કબીરની સમાધિના સ્થળે ઉત્તર પ્રદેશના મુખ્ય મંત્રી યોગી આદિત્યનાથે તેમના અભિવાદન માટે આપવામાં આવી રહેલી ટોપી પહેરવાનો ઇન્કાર કરી દીધો હતો.
https://www.bbc.com/gujarati/india-49783330,ગલીબૉયે ઑસ્કાર ઍવૉર્ડ ઍન્ટ્રીની રેસમાં આ ફિલ્મોને છોડી પાછળ,2020માં યોજાનારા 92મા ઑસ્કાર ઍવૉર્ડમાં વિદેશી ભાષાની કૅટેગરીમાં ભારત તરફથી સત્તાવાર ઍન્ટ્રી તરીકે ફિલ્મ ગલીબૉયની પસંદગી થઈ છે.
https://www.bbc.com/gujarati/international-43426119,પ્રિન્સ સલમાન : જો ઈરાને અણુબૉમ્બ બનાવ્યો તો અમે પણ બનાવીશું,"સાઉદી અરેબિયાના ક્રાઉન પ્રિન્સ મોહમ્મદ બિન સલમાને ચેતવણી આપી છે કે, જો ઈરાન દ્વારા અણુબૉમ્બ બનાવવામાં આવશે, તો તેઓ પણ અણુબૉમ્બનું નિર્માણ કરશે."
https://www.bbc.com/gujarati/international-48783208,"IND vs WI : ICC રૅન્કિંગમાં ભારત ટોચ પર, આજની મૅચ નક્કી કરશે ભાવિ","ઇન્ટરનેશનલ ક્રિકેટ કાઉન્સિલ દ્વારા તાજેતરમાં બહાર પાડવામાં આવેલી રૅન્કિંગમાં ભારતે ઇંગ્લૅન્ડની ટીમને પછાડીને નંબર વનનું સ્થાન હાંસલ કરી લીધું છે, જોકે ભારત આ સ્થાને રહેશે કે કેમ તે 'જો...અને તો...' ઉપર આધારિત છે."
