URL Source,Article,Summary
https://www.bbc.com/hindi/sport/story/2008/04/080409_wisden_zaheer,विज़्डन की सूची में ज़हीर का नाम,इस साल घोषित किए गए 'विज़्डन क्रिकेटर ऑफ़ द इयर' पुरस्कारों में भारत के ज़हीर खान का नाम भी शामिल किया गया है.
https://www.bbc.com/hindi/india-43306795,"जब मुशर्रफ़ ने गांगुली को फ़ोन पर बोला, 'भारत-पाक में हो जाएगी जंग'","भारतीय क्रिकेट टीम के पूर्व कप्तान और 'दादा' के नाम से मशहूर सौरव गांगुली की उपलब्धियों, निराशाओं और विवादों की झलक देती एक किताब ''ए सेंचुरी इज नॉट इनअफ'' प्रकाशित हुई है."
https://www.bbc.com/hindi/india/2013/09/130925_lalit_modi_expelled_bcci_an,ललित मोदी बीसीसीआई से निष्कासित,भारतीय क्रिकेट कंट्रोल बोर्ड यानी बीसीसीआई ने आचरण में गड़बड़ी और अनुशासनहीनता के आरोप में आईपीएल के पूर्व कमिश्नर ललित मोदी को निष्कासित कर दिया है.
https://www.bbc.com/hindi/india/2014/12/141226_jammu_kashmir_government_rns,कश्मीरः बड़ी कठिन है डगर बहुमत की,भारत प्रशासित जम्मू-कश्मीर विधानसभा चुनाव में किसी भी पार्टी को पूर्ण बहुमत नहीं मिला है.
https://www.bbc.com/hindi/science/2012/11/121107_window_messanger_skj,मैसेंजर बंद लेकिन अब कॉन्टैक्ट लिस्ट का क्या होगा?,माइक्रोसॉफ्ट ने एक बड़ा फैसला करते हुए अपने इंस्टैंट मैसेजिंग टूल मैंसेंजर को रिटायर करने का फैसला किया है.
https://www.bbc.com/hindi/news/story/2004/05/040519_courtmartial_us,अमरीकी सैनिक को एक साल की क़ैद,इराक़ की अबू ग़रेब जेल में क़ैदियों के साथ दुर्व्यवहार के मामले में दोषी ठहराए गए एक अमरीकी सैनिक को एक साल जेल की सज़ा सुनाई गई है.
https://www.bbc.com/hindi/regionalnews/story/2008/12/081206_manmohan_intolerance_alk,समाज में बढ़ती हिंसा से प्रधानमंत्री चिंतित,"प्रधानमंत्री मनमोहन सिंह ने कहा है कि भारतीय समाज में जिस तरह का विभाजन, गुस्सा और हिंसा देखी जा रही है वैसा पहले कभी नहीं था."
https://www.bbc.com/hindi/india-45756536,ब्लॉग: रात 9 बजे के बाद मर्द बाहर न निकलें तो लड़कियां क्या करेंगी?,रात 9 बजे मर्दों के बाहर निकलने पर बैन लग जाए तो लड़कियां क्या करेंगी? लड़कियां सोचेंगी नहीं कि उन्हें क्या करना है.
https://www.bbc.com/hindi/international/2013/08/130816_sikh_tv_fine,ब्रिटेन का 'संगत टीवी' चैनल हिंसा के लिए उकसाने का दोषी,ब्रिटेन में 'संगत टीवी' नामक एक सिख टीवी चैनल को भारत के सेवानिवृत सैन्य अधिकारी लेफ़्टिनेंट जनरल केएस बरार पर हमला करने के लिए उकसाने के आरोप में दंडित किया गया है.
https://www.bbc.com/hindi/entertainment/story/2009/01/090120_komal_column_ad,अक्षय को महँगा पड़ा पोस्टर देखना,अक्षय कुमार यह कहने में शर्मिंदगी महसूस नहीं करते हैं कि उन्होंने केवल एक पोस्टर का डिज़ाइन देख कर चाँदनी चौक टू चाइना साइन की थी.
https://www.bbc.com/hindi/entertainment/2015/07/150701_mumbai_diary_abhishek_15_years_adp,पंद्रह साल में कितने बदले अभिषेक,अभिषेक बच्चन ने वर्ष 2000 मे करीना के साथ जे पी दत्ता की फ़िल्म 'रिफ़्यूजी' से अपना करियर शुरू किया था. इस लिहाज़ से दोनों ने इंडस्ट्री में पंद्रह साल पूरे कर लिए हैं.
https://www.bbc.com/hindi/regionalnews/story/2003/10/031010_falcon_deal,भारत-इसराइल ने फ़ाल्कन सौदे पर दस्तख़त किए,भारत ने इसराइल और रूस के साथ फ़ाल्कन रडार सिस्टम के सौदे पर हस्ताक्षर कर दिए हैं.
https://www.bbc.com/hindi/regionalnews/story/2006/10/061023_pranab_defence_spying,'सेना में जासूसी की जाँच हो रही है',भारत के रक्षा मंत्री प्रणव मुखर्जी ने सेना के भीतर फैलते जासूसी नेटवर्क पर गंभीर चिंता जताते हुए कहा है कि इसकी जाँच हो रही है ताकि पूरे 'नेटवर्क' का पता लगाया जा सके.
https://www.bbc.com/hindi/international/2016/01/160121_vert_earth_indian_animals_pk,भारत के 9 विचित्र जीवों की तस्वीरें,"भारतीय उपमहाद्वीप में विविधरंगी जीव पाए जाते हैं, कुछ तो ऐसे हैं जो केवल भारत में ही पाए जाते हैं."
