URL Source,Article,Summary
https://www.bbc.com/punjabi/india-44253726,ਸੋਸ਼ਲ: ਢੱਡਰੀਆਂਵਾਲਾ ਤੇ ਧੁੰਮਾ ਵਿਵਾਦ-'ਦੋਵੇਂ ਇੱਕੋ ਸਿੱਕੇ ਦੇ ਦੋ ਪਹਿਲੂ',ਪੰਜਾਬ ਵਿੱਚ ਸਿੱਖ ਪ੍ਰਚਾਰਕ ਰਣਜੀਤ ਸਿੰਘ ਢੱਡਰਿਆਂਵਾਲੇ ਅਤੇ ਦਮਦਮੀ ਟਕਸਾਲ ਦੇ ਮੁਖੀ ਹਰਨਾਮ ਸਿੰਘ ਧੁੰਮਾ ਵਿਚਾਲੇ ਚੱਲ ਰਿਹਾ ਵਿਵਾਦ ਅੱਜਕੱਲ੍ਹ ਚਰਚਾ ਵਿੱਚ ਹੈ।
https://www.bbc.com/punjabi/india-56227626,ਕਿਸਾਨ ਅੰਦੋਲਨ: RSS ਆਗੂ ਨੇ ਕੀਤੀ ਗੱਲਬਾਤ ਦੀ ਪੇਸ਼ਕਸ਼ ਤੇ ਦੱਸਿਆ ਕਿਵੇਂ ਨਿਕਲੇਗਾ ਹੱਲ - 5 ਅਹਿਮ ਖ਼ਬਰਾਂ,ਹਰਿਆਣਾ ਦੇ ਪਹਿਲੇ ਸੀਐੱਮ ਰਹੇ ਪੰਡਿਤ ਭਗਵਤ ਦਿਆਲ ਸ਼ਰਮਾ 'ਤੇ ਕਿਤਾਬ ਦੀ ਘੁੰਡ ਚੁਕਾਈ ਮੌਕੇ ਆਰਐੱਸਐੱਸ ਆਗੂ ਇੰਦਰੇਸ਼ ਪਹੁੰਚੇ ਸਨ। ਇਸ ਮੌਕੇ ਉਨ੍ਹਾਂ ਕਿਸਾਨ ਅੰਦੋਲਨ ਤੇ ਹੋਰ ਮੁੱਦਿਆਂ ਬਾਰੇ ਬੀਬੀਸੀ ਸਹਿਯੋਗੀ ਸਤ ਸਿੰਘ ਨਾਲ ਗੱਲਬਾਤ ਕੀਤੀ।
https://www.bbc.com/punjabi/india-52086334,ਕੋਰੋਨਾਵਾਇਰਸ: ਲੌਕਡਾਊਨ ’ਚ ਪਰਵਾਸੀ ਮਜ਼ਦੂਰ ਘਰ ਪਰਤਨ ਦੇ ਰਾਹ ’ਚ ਹਾਦਸਿਆਂ ਦਾ ਸ਼ਿਕਾਰ ਹੋ ਰਹੇ,24 ਮਾਰਚ ਨੂੰ ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਨਰਿੰਦਰ ਮੋਦੀ ਨੇ ਪੂਰੇ ਭਾਰਤ ਵਿੱਚ 21 ਦਿਨਾਂ ਲਈ ਕੋਰੋਨਾਵਾਇਰਸ ਕਰਕੇ ਲੌਕਡਾਊਨ ਦਾ ਐਲਾਨ ਕੀਤਾ ਸੀ।
https://www.bbc.com/punjabi/india-47366978,"#Balakot : ਭਾਰਤ ਦਾ ਦਾਅਵਾ, ਬਾਲਾਕੋਟ 'ਚ ਆਪਰੇਸ਼ਨ ਦੌਰਾਨ ਵੱਡੀ ਗਿਣਤੀ ’ਚ ਅੱਤਵਾਦੀ ਮਾਰੇ, ਕਿਵੇਂ ਕੀਤੀ LOC ਪਾਰ",ਭਾਰਤ ਸਰਕਾਰ ਨੇ ਦਾਅਵਾ ਕੀਤਾ ਹੈ ਕਿ ਉਸ ਨੇ ਇੱਕ ਗੈਰ-ਫ਼ੌਜੀ ਆਪਰੇਸ਼ਨ ਵਿਚ ਜੈਸ਼-ਏ-ਮੁਹੰਮਦ ਦੇ ਵੱਡੀ ਗਿਣਤੀ ਵਿਚ ਅੱਤਵਾਦੀਆਂ ਨੂੰ ਮਾਰ ਸੁੱਟਿਆ ਹੈ।
https://www.bbc.com/punjabi/international-53810350,ਪੰਡਿਤ ਜਸਰਾਜ ਦਾ ਦੇਹਾਂਤ: ਜਲੰਧਰ 'ਚ ਜਦੋਂ ਤੜਕੇ 4 ਵਜੇ ਤੱਕ ਸਰੋਤੇ ਸੁਣਦੇ ਰਹੇ,ਮਸ਼ਹੂਰ ਸ਼ਾਸਤਰੀ ਗਾਇਕ ਪੰਡਿਤ ਜਸਰਾਜ ਦਾ ਅਮਰੀਕਾ ਵਿੱਚ ਸੋਮਵਾਰ ਨੂੰ ਦੇਹਾਂਤ ਹੋ ਗਿਆ ਹੈ। ਉਹ 90 ਸਾਲ ਦੇ ਸਨ।
https://www.bbc.com/punjabi/international-54716471,ਅਮਰੀਕਾ ਦੀਆਂ ਰਾਸ਼ਟਰਪਤੀ ਚੋਣਾਂ ਵਿੱਚ ਭਾਰਤੀ-ਅਮਰੀਕੀ ਵੋਟਰ ਕਿਉਂ ਹਨ ਅਹਿਮ,ਸੈਨੇਟਰ ਕਮਲਾ ਹੈਰਿਸ ਨੂੰ ਡੈਮੋਕਰੇਟਿਕ ਪਾਰਟੀ ਦੇ ਉਪ ਰਾਸ਼ਟਰਪਤੀ ਦੇ ਉਮੀਦਵਾਰ ਵਜੋਂ ਚੁਣੇ ਜਾਣ ਤੋਂ ਬਾਅਦ ਅਚਾਨਕ ਅਮਰੀਕਾ ਵਿੱਚ ਭਾਰਤੀ-ਅਮਰੀਕੀ ਭਾਈਚਾਰੇ ਵਿੱਚ ਚਰਚਾ ਹੋਣ ਲੱਗੀ।
https://www.bbc.com/punjabi/india-47787398,"#CongressManifesto: ""ਅਜੇ ਮੋਦੀ ਆਲੇ 15 ਲੱਖ ਹੀ ਨਹੀਂ ਖ਼ਰਚੇ ਗਏ...""- ਸੋਸ਼ਲ",2019 ਲੋਕ ਸਭਾ ਚੋਣਾਂ ਲਈ ਕਾਂਗਰਸ ਪਾਰਟੀ ਨੇ 'ਹਮ ਨਿਭਾਏਂਗੇ' ਸਿਰਲੇਖ ਵਾਲਾ ਮੈਨੀਫੈਸਟੋ ਜਾਰੀ ਕੀਤਾ ਹੈ।
https://www.bbc.com/punjabi/international-45307982,ਫਰੈਂਚ ਓਪਨ 'ਚ ਕਿਉ ਬੈਨ ਹੋਈ ਸੇਰੇਨਾ ਵਿਲੀਅਮਜ਼ ਦੀ ਇਹ ਪੁਸ਼ਾਕ?,ਟੈਨਿਸ ਦੀ ਦੁਨੀਆਂ ਦੀ ਮਸ਼ਹੂਰ ਖਿਡਾਰਨ ਸੇਰੇਨਾ ਵਿਲੀਅਮਜ਼ ਦੀ ਡ੍ਰੈੱਸ ਸੁਪਰਹੀਰੋ ਕੈਟਸੂਟ ਨੂੰ ਅਗਲੇ ਸਾਲ ਫਰੈਂਚ ਓਪਨ ਵਿੱਚ ਬੈਨ ਕਰ ਦਿੱਤਾ ਗਿਆ ਹੈ।
https://www.bbc.com/punjabi/india-55664517,ਸ਼ੂਟਰ ਯਸ਼ਸਵਿਨੀ ਸਿੰਘ ਦੇਸਵਾਲ ਦੀ ਹੁਣ ਹੈ ਟੋਕਿਓ 'ਤੇ ਨਜ਼ਰ,ਉਭਰ ਰਹੀ ਭਾਰਤੀ ਨਿਸ਼ਾਨੇਬਾਜ਼ ਯਸ਼ਸਵਿਨੀ ਸਿੰਘ ਦੇਸਵਾਲ ਦੀ ਨਜ਼ਰ ਹੁਣ 2021 ਟੋਕਿਓ ਓਲੰਪਿਕ ਵਿੱਚ ਤਗ਼ਮਾ ਹਾਸਲ ਕਰਨ 'ਤੇ ਟਿੱਕੀ ਹੈ।
https://www.bbc.com/punjabi/india-48932411,ਭਾਰਤ ਸਰਕਾਰ ਦਾ ਦਾਅਵਾ ਰੈਫਰੈਂਸ ਲਾਇਬਰੇਰੀ ਦੇ ਦਸਤਾਵੇਜ਼ ਸ਼੍ਰੋਮਣੀ ਕਮੇਟੀ ਨੂੰ ਕੀਤੇ ਵਾਪਸ -5 ਅਹਿਮ ਖ਼ਬਰਾਂ,ਬੀਬੀਸੀ ਵਲੋਂ ਸੂਚਨਾ ਦੇ ਅਧਿਕਾਰ ਤਹਿਤ ਮੰਗੀ ਜਾਣਕਾਰੀ ਦੇ ਜਵਾਬ ਵਿਚ ਭਾਰਤ ਸਰਕਾਰ ਨੇ ਲਿਖਤੀ ਤੌਰ ਉੱਤੇ ਦਾਅਵਾ ਕੀਤਾ ਕਿ ਆਪਰੇਸ਼ਨ ਬਲੂ ਸਟਾਰ ਮੌਕੇ ਚੁੱਕੇ ਗਏ ਸਾਰੇ ਦਸਤਾਵੇਜ਼ ਸ਼੍ਰੋਮਣੀ ਕਮੇਟੀ ਨੂੰ ਵਾਪਸ ਕਰ ਦਿੱਤੇ ਗਏ ਹਨ।
