URL Source,Article,Summary
https://www.bbc.com/tamil/india-44293386,விவசாயிக்கு இழப்பை உண்டாக்கிய 'அணிலின் வால்',தெலங்கானா மாநிலத்தின் மக்பூபாப்நகர் மாவட்டத்தைச் சேர்ந்த வெங்கடேஸ்வர ரெட்டி எனும் விவசாயிக்குக் கடந்த 3 வருடங்களாக ஒரு அணில் தொல்லை கொடுத்து வருகிறது. அந்த அணில் உண்மையில் இருக்கிறதா அல்லது கற்பனையா என்பது எங்களுக்குத் தெரியவில்லை.
https://www.bbc.com/tamil/sport-50839014,தலைசிறந்த இந்திய விளையாட்டு வீராங்கனைக்கு விருது வழங்கி கௌரவிக்கும் பிபிசி,மாற்றுத்திறனாளி வீராங்கனைகள் உள்பட இந்தியாவின் விளையாட்டு வீராங்கனைகளில் தலைசிறந்த ஒருவரைத் தேர்ந்தெடுத்து விருது வழங்கி பிபிசி செய்தி நிறுவனம் கௌரவப்படுத்தவுள்ளது.
https://www.bbc.com/tamil/global-42491396,'பொறுப்பற்ற' சமூக வலைத்தளப் பயன்பாடு: எச்சரிக்கும் பராக் ஒபாமா,"இந்த ஆண்டு ஜனவரி மாதம் அமெரிக்க அதிபர் பதவியில் இருந்து விலகிய பின் அளித்த ஒரு அரிதான பேட்டியில், 'பொறுப்பற்ற' சமூக வலைத்தளப் பயன்பாட்டுக்கு எதிராக பராக் ஒபாமா எச்சரிக்கை விடுத்துள்ளார்."
https://www.bbc.com/tamil/science-56064399,பனிச்சிறுத்தைகளை பாதுகாக்க இமயமலையில் போராடும் சென்னை பெண் ஜானகி,ஆசியாவில் அழிந்து வரும் இனமாக இருக்கக்கூடிய பனிச்சிறுத்தைகளை பாதுகாப்பது என்பது இளைஞர்கள் இல்லை என்றால் நடக்காத ஒரு காரியமாக இருக்கும் என்கின்றனர் பிபிசியிடம் பேசிய சுற்றுச்சூழல் ஆர்வலர்கள்.
https://www.bbc.com/tamil/sport-43729208,புற்றுநோயால் தாயை இழந்த ராகுல்: காமன்வெல்த்தில் தங்கம் வென்ற கதை,"''நீ வெற்றி மேடையில் நிற்கும்போது பின்னணியில் தேசிய கீதம் ஒலிக்க இந்திய தேசியக் கொடி மெல்ல உயரும். அதுதான் எனக்கு தேவை. உனக்கு கிடைக்கும் பணமோ, புகழோ எனக்குத் தேவை இல்லை'' என ராகலா மது காமன்வெல்த் போட்டிகளில் கலந்து கொள்ள புறப்பட்ட அவரது மகன் ராகலா வெங்கட் ராகுலிடம் கூறியுள்ளார்."
https://www.bbc.com/tamil/india-45025321,"""விளம்பரத்தாலே உயர்ந்தவர் வாழ்க்கை நிரந்தரமாகாது""","கடந்த 2014-18ஆம் ஆண்டு காலக்கட்டத்தில் விளம்பரங்களுக்காக மத்திய அரசு ரூ.4,880 கோடி செலவிட்டுள்ளது"
https://www.bbc.com/tamil/arts-and-culture-56793354,திரை பாலியல் காட்சிகளை எளிதாக்கும் இந்தியாவின் `இன்டிமஸி கோஆர்டினேட்டர்' - இப்படி ஒரு பதவியா?,"1992ஆம் ஆண்டில் வெளியான ""பேசிக் இன்ஸ்டிங்க்ட்"" திரைப்படத்தின் ஒரு சர்ச்சைக்குரிய காட்சியில், தந்திரமாக தனது உள்ளாடை கழற்ற வைக்கப்பட்டதாக ஹாலிவுட் நடிகை ஷரோன் ஸ்டோன் சமீபத்தில் கூறியுள்ளார். காவல் துறை விசாரணை ஒன்றின் போது தனது கால்கள் விரிக்க வைக்கப்பட்டதாக அவர் கூறுகிறார்."
https://www.bbc.com/tamil/global-53746928,கமலா ஹாரிஸ்: அமெரிக்க துணை அதிபர் வேட்பாளராக இந்திய வம்சாவளிப் பெண் - யார் இவர்?,அமெரிக்காவின் ஜனநாயகக் கட்சி அதிபர் வேட்பாளரான ஜோ பிடன் செனட்டர் கமலா ஹாரிஸை துணை அதிபர் வேட்பாளராக அறிவித்துள்ளார்.
https://www.bbc.com/tamil/india-52203102,"கொரோனா வைரஸ்: முடங்கிய இந்தியா, மனைவியை அழைத்துக் கொண்டு 750 கி.மீ சைக்கிளில் பயணித்த தொழிலாளி","""பயமும், பசியும் யாருக்கு தான் தைரியத்தைக் கொடுக்காது?"""
https://www.bbc.com/tamil/sri-lanka-56347303,இலங்கை ஈஸ்டர் தாக்குதல் பற்றி முன்பே தெரியுமா? ரணில் தரும் புதிய விளக்கம்,இலங்கையில் ஈஸ்டர் தாக்குதல் நடத்தப்படுவது பற்றி எந்தவொரு சந்தர்ப்பத்திலும் முன்பே தான் அறிந்திருக்கவில்லை என முன்னாள் பிரதமர் ரணில் விக்ரமசிங்க தெரிவித்துள்ளார்.
https://www.bbc.com/tamil/india-52203640,கொரோனா வைரஸ் பரிசோதனை: கேரளாவில் மருத்துவ பணியாளர்களுக்கு பாதுகாப்பளிக்கும் மையங்கள் - விரிவான தகவல்கள்,கொரோனா வைரஸ் பரிசோதனைக்கு தேவைப்படும் மாதிரிகளை மனிதர்களின் உடலில் இருந்து எடுக்க கேரளாவின் தெற்கே உள்ள கொச்சி நகரில் ஆங்காங்கே மையங்கள் அமைக்கப்பட்டுள்ளது.
https://www.bbc.com/tamil/global-40848836,சீன சமூகவலைதள பயன்பாட்டாளர்களின் பாராட்டை பெற்ற விஜேந்தர் சிங்,"கடந்த ஜூன் மாதத்திலிருந்து ஒரு சர்ச்சைக்குரிய எல்லை தொடர்பாக இந்தியாவும் , சீனாவும் மோதல் போக்கை கடைபிடித்து வருகின்றன ."
https://www.bbc.com/tamil/sri-lanka-51253473,"காணாமல் போனவர்கள் தொடர்பில், ஐ.நா. ஒருங்கிணைப்பாளருடன் கோட்டாபய ராஜபக்ஷ பேசியது என்ன?","காணமால் போனோர் தொடர்பில் தேவையான, உரிய விசாரணைகள் முன்னெடுக்கப்பட்டதன் பின்னர், இறப்புச் சான்றிதழ் வழங்கப்படும் என்று, ஐக்கிய நாடுகள் சபையின் இலங்கைக்கான மூத்த அதிகாரி ஹன்னா சிங்கர் இடம் தான் கூறியதாக ஜனாதிபதி கோட்டாபய ராஜபக்ஷ தெரிவித்துள்ளார்."
https://www.bbc.com/tamil/india-40800227,தமிழக அமைச்சர் விஜய பாஸ்கரின் குவாரிக்கு சீல் வைப்பு,"தமிழக சுகாதாரத்துறை அமைச்சர் விஜய பாஸ்கருக்குச் சொந்தமான 100 ஏக்கர் நிலம், கல் குவாரி ஆகியவற்றை வருமான வரித்துறை நேற்று முடக்கிய நிலையில், இன்று கல் குவாரிக்கு சீல் வைக்கப்பட்டது."
https://www.bbc.com/tamil/india-43813859,"எச்.ராஜாவின் சர்சைக்குரிய ட்வீட்: சமூக வலைதளங்களில் எதிர்ப்பு, தி.மு.க. போராட்டம்",கள்ள உறவில் பிறந்த குழந்தை என தி.மு.க. மாநிலங்களவை உறுப்பினர் கனிமொழியை குறிப்பிடும் வகையில் பா.ஜ.கவின் தேசியத் தலைவர் எச். ராசா தெரிவித்த கருத்துக்கு சமூகவலைதளங்களில் கடும் கண்டனம் தெரிவிக்கப்பட்டுவருகிறது. தி.மு.க. பல்வேறு மாவட்டங்களில் ஆர்ப்பாட்டங்களை நடத்தியுள்ளது.
https://www.bbc.com/tamil/global-40604496,லியு ஷியாவ்போ மரணம்: சர்வதேச விமர்சனங்களை நிராகரிக்கும் சீனா,கல்லீரல் புற்றுநோய் சிகிச்சைக்காக சீனாவின் மிக முக்கியமான மனித உரிமை செயற்பாட்டாளரான லியு ஷியாவ்போவை வெளிநாட்டுக்கு அனுப்ப மறுப்பு தெரிவித்ததற்கு எழுந்து வரும் சர்வதேச விமர்சனங்களை சீனா நிராகரித்துள்ளது.
https://www.bbc.com/tamil/india-41514141,6 மாதத்தில் உத்தரப்பிரதேசத்தில் 433 என்கவுண்டர்கள்,உத்தரப்பிரதேச மாநில அரசு நூற்றுக்கணக்கான சட்டவிரோத கொலைகளை செய்துள்ளதாக குற்றம்சாட்டப்பட்டுள்ளது. பத்திரிக்கையாளர் சரத் பிரதான் இதுகுறித்து விவரிக்கிறார்.
https://www.bbc.com/tamil/india-51473939,குடியுரிமை திருத்த சட்டத்தை எதிர்த்து புதுவை சட்டப் பேரவையில் தீர்மானம்,குடியுரிமை திருத்தச் சட்டத்தை திரும்பபெற வலியுறுத்தி புதுச்சேரி சட்டமன்றத்தில் பல்வேறு எதிர்ப்புகளுக்கு இடையே தீர்மானம் நிறைவேற்றப்பட்டது.
https://www.bbc.com/tamil/sport-38571387,உலக கோப்பை கால்பந்து: இனி 48 நாடுகள் விளையாடலாம்,"ஃபிஃபா என்றழைக்கப்படும் சர்வதேச கால்பந்து அமைப்பு, உலக கோப்பை கால்பந்து போட்டியில் பங்கேற்கும் நாடுகளின் தற்போதைய எண்ணிக்கையான 32 என்பதனை 48-ஆக மாற்றும் திட்டத்துக்கு ஒப்புதல் அளித்துள்ளது."
https://www.bbc.com/tamil/india-43603736,காவிரி மேலாண்மை வாரியம் அமைக்க மறுக்கிறதா மத்திய அரசு??,"காவிரி மேலாண்மை வாரியம் அமைக்க உச்சநீதிமன்றம் விதித்த காலக்கெடு முடிவடைந்த நிலையில், இதனை பின்பற்ற தவறிய மத்திய அரசு மீது, தமிழக அரசு சார்பில் நீதிமன்ற அவமதிப்பு வழக்கு தாக்கல் செய்யப்பட்டுள்ளது. இந்நிலையில், காவிரி தீர்ப்பு குறித்து தெளிவு படுத்தக் கோரி மத்திய அரசும் உச்சநீதிமன்றத்தை நாடியுள்ளது."
https://www.bbc.com/tamil/science-38571427,தடை பல கடந்து ஐஃபோன் பிறந்த கதை,''ஸ்டீவ் என்னிடம் இது ஒரு மிகவும் முக்கியமான ரகசிய விஷயம் என்று கூறியிருந்தார். இதைப்பற்றி வெளியில் சொன்னால் வேலையிலிருந்து நீக்கிவிடப்போவதாக கூறியிருந்தார்.''
